xc,yb,surf,section,og_cp,correction,cp,eps_blockage
0.563,0.994,U,7,-0.238918376,0.021142845,-0.217775531,
0.49,0.994,U,7,-0.270456689,0.021689719,-0.24876697,
0.412,0.994,U,7,-0.339127794,0.022880476,-0.316247318,
0.36,0.994,U,7,-0.375229432,0.023506478,-0.351722954,
0.25,0.994,U,7,-0.476395011,0.025260689,-0.451134322,
0.203,0.994,U,7,-0.496061929,0.025601714,-0.470460215,
0.16,0.994,U,7,-0.598464893,0.027377381,-0.571087512,
0.123,0.994,U,7,-0.614187179,0.027650006,-0.586537173,
0.09,0.994,U,7,-0.700230416,0.029141995,-0.671088421,
0.04,0.994,U,7,-0.740539162,0.029840949,-0.710698213,
0.022,0.994,U,7,-0.607880266,0.027540644,-0.580339622,
0.01,0.994,U,7,-0.359747124,0.023238015,-0.336509109,
0.01,0.994,L,7,0.607205329,0.00647106,0.613676389,
0.022,0.994,L,7,0.177202873,0.013927302,0.191130175,
0.04,0.994,L,7,-0.038060831,0.017659975,-0.020400856,
0.09,0.994,L,7,-0.225037168,0.020902144,-0.204135024,
0.16,0.994,L,7,-0.3132927,0.022432495,-0.290860205,
0.25,0.994,L,7,-0.344054835,0.022965911,-0.321088924,
0.36,0.994,L,7,-0.296719243,0.022145112,-0.274574131,
0.49,0.994,L,7,-0.262229955,0.021547067,-0.240682888,
0.563,0.994,L,7,-0.238918376,0.021142845,-0.217775531,
0.64,0.994,L,7,-0.191001588,0.020311968,-0.17068962,
0.79,0.994,L,7,-0.15683102,0.01971945,-0.13711157,
0.95,0.994,L,7,-0.089903503,0.018558927,-0.071344576,
