,xc,yb,surf,airfoil,alpha,M,Re,chord,taper ratio,span,le sweep,cp,source,std,case
35,0.01,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.22,ARC-RM-2822/1_Wing_A,0,1
36,0.03,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.04,ARC-RM-2822/1_Wing_A,0,1
37,0.08,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.11,ARC-RM-2822/1_Wing_A,0,1
38,0.15,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.2,ARC-RM-2822/1_Wing_A,0,1
39,0.225,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.225,ARC-RM-2822/1_Wing_A,0,1
40,0.35,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
41,0.5,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.205,ARC-RM-2822/1_Wing_A,0,1
42,0.65,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.125,ARC-RM-2822/1_Wing_A,0,1
43,0.75,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
44,0.85,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.025,ARC-RM-2822/1_Wing_A,0,1
45,0.95,0.041,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.05,ARC-RM-2822/1_Wing_A,0,1
46,0.95,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.065,ARC-RM-2822/1_Wing_A,0,1
47,0.85,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.015,ARC-RM-2822/1_Wing_A,0,1
48,0.75,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.04,ARC-RM-2822/1_Wing_A,0,1
49,0.65,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.09,ARC-RM-2822/1_Wing_A,0,1
50,0.5,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.195,ARC-RM-2822/1_Wing_A,0,1
51,0.35,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
52,0.225,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
53,0.15,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
54,0.08,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.17,ARC-RM-2822/1_Wing_A,0,1
55,0.03,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
56,0.01,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.155,ARC-RM-2822/1_Wing_A,0,1
57,0.0,0.082,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.49,ARC-RM-2822/1_Wing_A,0,1
58,0.01,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.205,ARC-RM-2822/1_Wing_A,0,1
59,0.03,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.0,ARC-RM-2822/1_Wing_A,0,1
60,0.08,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.175,ARC-RM-2822/1_Wing_A,0,1
61,0.15,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.24,ARC-RM-2822/1_Wing_A,0,1
62,0.225,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
63,0.35,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
64,0.5,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.205,ARC-RM-2822/1_Wing_A,0,1
65,0.65,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.08,ARC-RM-2822/1_Wing_A,0,1
66,0.75,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
67,0.85,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.005,ARC-RM-2822/1_Wing_A,0,1
68,0.95,0.082,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.06,ARC-RM-2822/1_Wing_A,0,1
69,0.95,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.065,ARC-RM-2822/1_Wing_A,0,1
70,0.85,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.01,ARC-RM-2822/1_Wing_A,0,1
71,0.75,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.03,ARC-RM-2822/1_Wing_A,0,1
72,0.65,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.08,ARC-RM-2822/1_Wing_A,0,1
73,0.35,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
74,0.225,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
75,0.15,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
76,0.08,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.2,ARC-RM-2822/1_Wing_A,0,1
77,0.03,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
78,0.01,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.125,ARC-RM-2822/1_Wing_A,0,1
79,0.0,0.163,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.49,ARC-RM-2822/1_Wing_A,0,1
80,0.01,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.13,ARC-RM-2822/1_Wing_A,0,1
81,0.03,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.075,ARC-RM-2822/1_Wing_A,0,1
82,0.08,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.215,ARC-RM-2822/1_Wing_A,0,1
83,0.15,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
84,0.225,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.275,ARC-RM-2822/1_Wing_A,0,1
85,0.35,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
86,0.5,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.165,ARC-RM-2822/1_Wing_A,0,1
87,0.65,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.07,ARC-RM-2822/1_Wing_A,0,1
88,0.75,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.025,ARC-RM-2822/1_Wing_A,0,1
89,0.85,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.0,ARC-RM-2822/1_Wing_A,0,1
90,0.95,0.163,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.06,ARC-RM-2822/1_Wing_A,0,1
91,0.95,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.07,ARC-RM-2822/1_Wing_A,0,1
92,0.85,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.025,ARC-RM-2822/1_Wing_A,0,1
93,0.75,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.02,ARC-RM-2822/1_Wing_A,0,1
94,0.65,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
95,0.5,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.145,ARC-RM-2822/1_Wing_A,0,1
96,0.35,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
97,0.225,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.27,ARC-RM-2822/1_Wing_A,0,1
98,0.15,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
99,0.08,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.195,ARC-RM-2822/1_Wing_A,0,1
100,0.03,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.065,ARC-RM-2822/1_Wing_A,0,1
101,0.01,0.245,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.125,ARC-RM-2822/1_Wing_A,0,1
102,0.01,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.09,ARC-RM-2822/1_Wing_A,0,1
103,0.03,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.065,ARC-RM-2822/1_Wing_A,0,1
104,0.08,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.22,ARC-RM-2822/1_Wing_A,0,1
105,0.15,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
106,0.225,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.265,ARC-RM-2822/1_Wing_A,0,1
107,0.35,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
108,0.5,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.175,ARC-RM-2822/1_Wing_A,0,1
109,0.65,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.06,ARC-RM-2822/1_Wing_A,0,1
110,0.75,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.005,ARC-RM-2822/1_Wing_A,0,1
111,0.95,0.245,L,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.07,ARC-RM-2822/1_Wing_A,0,1
112,0.95,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.075,ARC-RM-2822/1_Wing_A,0,1
113,0.85,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,0.02,ARC-RM-2822/1_Wing_A,0,1
114,0.65,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.055,ARC-RM-2822/1_Wing_A,0,1
115,0.5,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.145,ARC-RM-2822/1_Wing_A,0,1
116,0.35,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.245,ARC-RM-2822/1_Wing_A,0,1
117,0.225,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.26,ARC-RM-2822/1_Wing_A,0,1
118,0.15,0.367,U,RAE101,0.0,0.14,1680000.0,0.508,1.0,0.508,45.0,-0.25,ARC-RM-2822/1_Wing_A,0,1
